ALLEY,AL,ALY,0,
ALLEY,ALLEE,ALY,0,
ALLEY,ALLEY,ALY,0,
ALLEY,ALLY,ALY,0,
ALLEY,ALY,ALY,1,
AVENUE,AV,AVE,0,
AVENUE,AVE,AVE,1,
AVENUE,AVEN,AVE,0,
AVENUE,AVENE,AVE,0,
AVENUE,AVENU,AVE,0,
AVENUE,AVENEU,AVE,0,
AVENUE,AVENUE,AVE,0,
AVENUE,AVN,AVE,0,
AVENUE,AVNUE,AVE,0,
AVENUE,AVEUE,AVE,0,
AVENUE,AZE,AVE,0,$
BOULEVARD,BLV,BLVD,0,$
BOULEVARD,BLVD,BLVD,1,
BOULEVARD,BLVD,BLVD,1,
BOULEVARD,BOUL,BLVD,0,
BOULEVARD,BVLD,BLVD,0,
BOULEVARD,BVD,BLVD,0,
BOULEVARD,BOULEVARD,BLVD,0,
BOULEVARD,BOULV,BLVD,0,
BOULEVARD,BLOULEVARD,BLVD,0,
CENTER,CEN,CTR,0,
CENTER,CENT,CTR,0,
CENTER,CENTER,CTR,0,
CENTERS,CENTERS,CTRS,0,
CENTER,CENTR,CTR,0,
CENTER,CENTRE,CTR,0,
CIRCLE,CIR,CIR,1,
CIRCLE,CIRC,CIR,0,
CIRCLE,CIRCL,CIR,0,
CIRCLE,CIRCLE,CIR,0,
CIRCLES,CIRCLES,CIRS,0,
CIRCLES,CIRS,CIRS,1,
CREEK,CK,CRK,0,
CREEK,CR,CRK,0,
CIRCLE,CRCL,CIR,0,
CIRCLE,CRCLE,CIR,0,
CRESCENT,CRECENT,CRES,0,
CREEK,CREEK,CRK,0,
CRESCENT,CRES,CRES,1,
CRESCENT,CRESCENT,CRES,0,
CRESCENT,CRESENT,CRES,0,
CREEK,CRK,CRK,1,
CRESCENT,CRSENT,CRES,0,
COBBS CREEK,COBBSCREEK,0,
COBBS CREEK,COBBCREEK,0,
COBBS,COBB,0,
COURT,CRT,CT,0,
COURT,CT,CT,1,
COURT,COURT,CT,,
CENTER,CTR,CTR,1,
DRIVEWAY,DWY,DWY,1,
DRIVE,DDR,DR,0,
DRIVE,DR,DR,1,
DRIVE,DRIV,DR,0,
DRIVE,DRIVE,DR,0,
DRIVE,DRV,DR,0,
DRIVE,DRW,DR,0,$
DIVIDE,DV,DV,1,
DIVIDE,DVD,DV,0,
EXPRESSWAY,EXP,EXPY,0,
EXPRESSWAY,EXPR,EXPY,0,
EXPRESSWAY,EXPRESS,EXPY,0,
EXPRESSWAY,EXPRESSWAY,EXPY,0,
EXPRESSWAY,EXPW,EXPY,0,
EXPRESSWAY,EXPY,EXPY,1,
EXTENSION,EXT,EXT,1,
EXTENSION,EXTENSION,EXT,0,
EXTENSIONS,EXTENSIONS,EXTS,0,
EXTENSION,EXTN,EXT,0,
EXTENSION,EXTNSN,EXT,0,
